uninstall-git-extensions -- MAX TimeDifference-with-Prev-TimeStamp: 0:00:30.388973

uninstall-git-extensions log-entry timestamp range 0:00:31.766705
Incidents of TimeDifference >= 0:00:30
  1:  0:00:30.388973


HumanReadable-LogEntry-TimeStamp  ||  TimeDifference-with-Prev-TimeStamp
2023-10-19 23:56:35.860210+00:00        ||  0
2023-10-19 23:56:35.870027+00:00        ||  0:00:00.009817
2023-10-19 23:56:35.870027+00:00        ||  0:00:00
2023-10-19 23:56:35.874698+00:00        ||  0:00:00.004671
2023-10-19 23:56:35.875737+00:00        ||  0:00:00.001039
2023-10-19 23:56:35.890298+00:00        ||  0:00:00.014561
2023-10-19 23:56:35.895452+00:00        ||  0:00:00.005154
2023-10-19 23:56:35.911906+00:00        ||  0:00:00.016454
2023-10-19 23:56:35.916604+00:00        ||  0:00:00.004698
2023-10-19 23:56:35.921764+00:00        ||  0:00:00.005160
2023-10-19 23:56:35.929531+00:00        ||  0:00:00.007767
2023-10-19 23:56:35.948006+00:00        ||  0:00:00.018475
2023-10-19 23:56:35.952095+00:00        ||  0:00:00.004089
2023-10-19 23:56:35.957786+00:00        ||  0:00:00.005691
2023-10-19 23:56:35.963531+00:00        ||  0:00:00.005745
2023-10-19 23:56:35.968695+00:00        ||  0:00:00.005164
2023-10-19 23:56:35.976369+00:00        ||  0:00:00.007674
2023-10-19 23:56:35.990942+00:00        ||  0:00:00.014573
2023-10-19 23:56:35.994055+00:00        ||  0:00:00.003113
2023-10-19 23:56:35.995609+00:00        ||  0:00:00.001554
2023-10-19 23:56:35.999755+00:00        ||  0:00:00.004146
2023-10-19 23:56:36.004522+00:00        ||  0:00:00.004767
2023-10-19 23:56:36.004522+00:00        ||  0:00:00
2023-10-19 23:56:36.008634+00:00        ||  0:00:00.004112
2023-10-19 23:56:36.008634+00:00        ||  0:00:00
2023-10-19 23:56:36.013283+00:00        ||  0:00:00.004649
2023-10-19 23:56:36.014314+00:00        ||  0:00:00.001031
2023-10-19 23:56:36.017370+00:00        ||  0:00:00.003056
2023-10-19 23:56:36.023015+00:00        ||  0:00:00.005645
2023-10-19 23:56:36.025035+00:00        ||  0:00:00.002020
